Organisation unit,avdhr,avdlr,ba,bu,gud,gw,lap,nc,other,ss,syph,ud,rec,dorm,Longtitude,Latitude,District
Mzokoto Health Centre,17,2,0,0,1,0,2,0,0,1,3,15,17,4,34.02735,-10.90777,Rumphi-DHO
Mzuzu Urban Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.01518,-11.46138,Mzimba-North-DHO
Nainunje Health Centre,17,3,1,0,16,1,6,0,0,0,13,23,26,30,35.56503,-14.7406,Machinga-DHO
Naisi Health Centre,29,6,0,0,9,0,5,0,0,0,5,32,38,14,35.3849,-15.35785,Zomba-DHO
Nakalanzi Health Centre,1,6,0,0,3,0,2,0,0,0,0,8,14,3,34.54819,-14.20233,Dedza-DHO
Nalunga Health Centre,6,9,2,0,6,0,22,0,0,2,4,11,20,10,34.0567,-13.64378,Dowa-DHO
Namadidi Dispensary,14,5,1,0,3,0,0,0,1,0,2,8,13,5,35.24736,-15.41079,Zomba-DHO
Namadzi Health Centre,63,6,5,3,49,1,19,0,7,5,18,66,75,68,35.18761,-15.54663,Chiradzulu-DHO
Namalaka Health Centre,6,7,0,1,2,0,10,0,0,0,2,8,16,4,35.19301,-14.12384,Mangochi-DHO
Namandanje Health Centre,3,2,0,0,10,0,0,0,2,0,13,6,8,23,35.48324,-14.88211,Machinga-DHO
Namanja Health Centre,46,4,0,0,22,0,12,0,0,0,47,42,46,69,35.67994,-14.96543,Machinga-DHO
Namanolo Health Centre,19,1,1,0,13,0,4,0,12,1,13,28,29,26,35.06411,-14.80259,Balaka-DHO
Namasalima Health Centre (Mulanje),50,3,0,3,25,0,79,1,0,0,27,11,18,52,35.3491,-15.80407,Mulanje-DHO
Namasalima Health Centre (Zomba),70,12,0,3,57,0,46,0,5,0,36,70,85,93,35.48876,-15.23142,Zomba-DHO
Nambazo Health Centre,66,0,0,0,21,0,35,0,0,0,216,11,11,237,35.74751,-15.85949,Phalombe-DHO
Nambuma Health Centre,7,10,1,1,11,1,10,1,2,3,10,13,25,22,33.55789,-13.72409,Lilongwe-DHO
Namikango Health Centre,0,0,0,0,0,0,0,0,0,0,31,0,0,31,35.24056,-15.47723,#N/A
Namikoko Health Centre,2,0,0,0,0,0,4,0,0,0,1,5,5,1,35.073691,-15.486758,Blantyre-DHO
Naming'omba estate clinic,3,0,0,0,9,1,4,0,12,1,1,9,9,11,35.1565,-16.02475,Thyolo-DHO
Namitambo Health Centre,26,48,0,0,43,0,1,0,0,0,2,45,93,45,35.27019,-15.84113,Chiradzulu-DHO
Namizana Dispensary,25,2,0,0,10,0,8,0,3,1,10,25,27,20,33.2463,-14.00195,#N/A
Namulenga Health Centre,4,1,0,0,9,0,0,0,0,0,15,6,7,24,35.67854,-16.03628,Mulanje-DHO
Namwera Health Centre,23,17,0,3,40,0,14,0,1,3,6,21,41,46,35.50221,-14.3637,Mangochi-DHO
Nancholi Dispensary,30,0,1,1,9,0,3,2,1,0,6,18,21,15,35.58667,-14.47803,Mangochi-DHO
Nandumbo Health Centre,18,33,0,1,27,0,31,0,2,1,0,42,76,27,35.047673,-15.24103,Balaka-DHO
Nangalamu Health Centre,17,25,1,9,30,0,13,0,1,4,4,45,79,34,35.67288,-14.48148,Mangochi-DHO
Nankhwali Health Centre,7,5,0,0,2,0,3,0,0,0,4,13,18,6,34.84488,-14.1351,Mangochi-DHO
Nankumba Health Centre,14,3,0,0,5,0,2,0,0,0,7,19,22,12,34.82361,-14.36521,Mangochi-DHO
Naphimba Health Centre,41,10,0,0,20,0,20,2,48,0,14,40,52,34,35.445462,-16.045639,Mulanje-DHO
Nasawa Health Centre,40,1,0,0,35,0,11,0,0,0,29,58,59,64,35.25956,-15.6023,Zomba-DHO
Nathenje Health Centre,133,2,1,1,50,0,35,0,11,4,8,112,115,58,33.90823,-14.08504,Lilongwe-DHO
Nayuchi Health Centre,57,5,0,0,17,0,6,1,1,0,6,62,68,23,35.86726,-14.97585,Machinga-DHO
Ndakwela Health Centre,26,16,0,0,12,1,9,0,0,0,105,36,52,118,34.87297,-16.46679,Chikwawa-DHO
Ndamera Health Centre,8,4,0,0,36,1,18,0,0,0,59,45,49,96,35.15688,-17.11489,Nsanje-DHO
Ndaula Health Centre,30,2,0,0,19,2,6,0,1,0,4,16,18,25,33.50757,-14.1385,Lilongwe-DHO
Ndirande Urban Health Centre,111,47,4,6,52,0,79,0,78,4,69,144,197,121,35.039359,-15.777971,Blantyre-DHO
Ndunde Health Centre,5,2,0,0,9,0,3,0,0,0,9,7,9,18,35.23355,-15.69615,Chiradzulu-DHO
Neno District Hospital,75,38,3,0,40,1,32,0,4,6,35,110,148,76,34.69892,-15.59825,Neno-DHO
Neno Parish Health Centre,27,2,0,0,4,0,10,0,23,0,10,10,12,14,34.6135,-15.26135,Neno-DHO
New Statehouse Dispensary,8,15,0,0,13,1,22,1,50,0,3,43,59,17,33.85089,-13.96051,#N/A
Newa / Mpasazi Health Centre,0,3,0,0,0,0,5,0,1,1,0,5,8,0,33.381861,-12.583194,Kasungu-DHO
Ng'onga Health Centre,23,7,4,1,7,0,27,4,0,4,1,21,33,8,33.94348,-10.93922,Rumphi-DHO
Ngabu Rural Hospital,122,42,5,1,53,1,32,0,8,7,90,146,189,144,34.87901,-16.46516,Chikwawa-DHO
Ngala Health Centre,3,0,0,0,10,0,0,0,0,0,0,12,12,10,34.06552,-12.36529,Nkhotakota-DHO
Ngana Health Centre,4,1,2,1,4,0,1,0,0,0,1,8,10,5,33.69891,-9.62021,Karonga-DHO
Ngapani Health Centre,19,27,1,1,8,0,8,2,1,0,6,29,59,14,35.33773,-14.0296,Mangochi-DHO
Ngodzi Health Centre,22,1,0,0,23,0,3,0,0,0,9,7,8,32,34.50896,-14.08926,Salima-DHO
Ngokwe Health Centre,22,12,0,2,23,0,8,0,0,0,33,34,48,56,35.80177,-14.70706,Machinga-DHO
Ngoni Health Centre,4,7,1,2,10,0,47,1,11,0,3,26,36,13,33.64018,-13.77509,Lilongwe-DHO
Ngwelero Health Centre,62,15,0,3,19,0,7,0,6,0,57,56,74,76,35.42718,-15.66645,Zomba-DHO
Njuyu Health Centre,4,12,0,0,15,0,1,0,1,1,0,18,30,15,33.69953,-11.52455,Mzimba-North-DHO
Nkalo Health Centre,18,35,1,0,18,1,7,1,0,0,37,26,62,56,35.30997,-15.97065,Chiradzulu-DHO
Nkasala Health Centre,0,0,0,0,2,0,5,0,3,0,12,6,6,14,35.21661,-15.32778,Zomba-DHO
Nkhalango Private Clinic,0,1,0,0,11,0,37,0,1,0,0,13,14,11,33.70483,-14.01291,#N/A
Nkhamenya Hospital,2,8,0,0,9,0,0,0,0,0,0,2,10,9,33.50098,-12.56606,Kasungu-DHO
Nkhata Bay District Hospital,111,31,1,2,106,1,76,1,52,8,57,153,187,164,34.29872,-11.60159,Nkhata-Bay-DHO
Nkhoma Hospital,114,29,0,0,17,0,66,0,50,1,42,84,113,59,34.1036,-14.04389,Lilongwe-DHO
Nkhorongo Health Centre,15,4,1,0,12,0,6,2,5,0,10,21,27,22,33.98514,-11.3901,Mzimba-North-DHO
Nkhotakota District Hospital,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.27939,-12.92508,Nkhotakota-DHO
Nkhulambe Health Centre,33,29,0,0,26,0,5,0,1,0,31,39,68,57,35.64918,-15.80677,Phalombe-DHO
Nkhunga Health Centre,12,9,0,0,12,2,26,0,5,1,48,47,56,62,34.10842,-12.48023,Nkhotakota-DHO
Nkhwazi Health Centre,8,49,0,0,27,0,16,0,0,1,1,40,89,28,33.22672,-13.92369,Mchinji-DHO
Nkomaula Health Centre,18,17,0,1,9,0,0,0,32,1,21,18,36,30,35.366736,-15.721048,Mulanje-DHO
Nkombedzi Health Centre,8,1,0,0,0,0,1,0,0,0,1,12,13,1,34.72431,-16.47944,#N/A
Nkope Health Centre,6,14,0,3,8,0,6,0,5,0,12,43,60,20,35.03944,-14.19733,Mangochi-DHO
Nkula Health Centre,5,6,0,0,3,0,5,0,0,0,6,5,11,9,34.82429,-15.41426,Neno-DHO
Nkumaniza Health Centre,10,15,0,0,25,0,3,0,2,0,39,32,47,64,34.72451,-16.479461,Chikwawa-DHO
Nsambe Sda Health Centre,18,0,1,0,14,7,10,0,25,1,3,13,13,24,34.65447,-15.36514,Neno-DHO
Nsanama Health Centre,14,0,1,1,4,0,24,0,2,0,11,18,19,15,35.49477,-14.99491,Machinga-DHO
Nsanje District Hospital,99,5,0,2,111,1,35,0,7,3,83,95,102,195,35.17333,-16.91495,Nsanje-DHO
Nsipe Health Centre,5,6,0,1,5,0,8,0,1,0,9,18,25,14,34.75233,-14.86434,Ntcheu-DHO
Nsiyaludzu Health Centre,18,7,0,2,17,0,3,4,1,0,15,53,66,32,34.87425,-14.93648,Ntcheu-DHO
Ntaja Health Centre,32,6,0,0,7,0,20,0,14,1,30,35,41,37,35.52911,-14.86828,Machinga-DHO
Ntcheu District Hospital,339,122,28,34,198,20,202,7,36,28,104,331,494,322,34.63823,-14.81698,Ntcheu-DHO
Ntchisi District Hospital,217,128,12,7,72,5,223,1,39,8,41,145,281,118,33.91061,-13.36345,Ntchisi-DHO
Nthalire Health Centre,34,2,3,1,22,1,5,0,1,6,25,62,65,48,33.64394,-10.34894,Chitipa-DHO
Nthenje Health Centre,2,1,0,0,3,0,4,0,1,2,0,14,15,3,33.98786,-10.91788,Rumphi-DHO
Ntholowa Health Centre,19,22,0,0,5,0,22,0,6,3,24,10,32,29,35.573296,-14.995001,Machinga-DHO
Nthondo Health Centre (Lilongwe),102,0,0,0,7,0,16,0,0,0,1,69,69,8,33.44849,-14.03153,Lilongwe-DHO
Nthondo Health Centre (Ntchisi),9,1,0,0,3,0,3,0,0,0,1,13,14,4,34.00699,-13.24723,Ntchisi-DHO
Nthungwa Health Centre,7,0,2,3,9,1,2,1,0,3,0,8,12,10,33.80046,-11.66014,Nkhata-Bay-DHO
Nyambi Health Centre,34,5,0,0,14,0,10,0,17,0,5,33,38,19,35.57257,-14.68999,Machinga-DHO
Nyamithuthu Health Centre,16,7,0,1,16,1,3,0,12,0,30,17,25,47,35.15663,-16.62831,Nsanje-DHO
Nyungwe Health Centre,8,2,0,0,0,0,6,0,1,1,1,10,12,1,34.10851,-10.28546,Karonga-DHO
Nzama Health Centre,0,1,0,0,0,0,2,0,0,0,6,0,1,6,34.586016,-14.893482,Ntcheu-DHO
Ofesi Health Centre,4,5,0,0,4,0,4,0,0,3,0,11,16,4,33.54904,-12.77939,Kasungu-DHO
Paracchute dispensary,5,1,3,0,13,0,4,0,1,1,8,8,9,21,34.58826,-13.74314,#N/A
Phalombe Health Centre,184,58,0,2,123,3,95,0,1,3,163,138,198,289,35.76392,-15.80293,Phalombe-DHO
Phalombe Mission Holy Family Hospital,32,16,1,2,16,0,28,0,23,1,58,27,45,74,35.81552,-15.85719,Phalombe-DHO
Phalula Health Centre,15,4,0,0,11,0,1,0,10,0,7,9,13,18,34.893242,-15.225544,Balaka-DHO
Phanga Dispensary,8,0,0,0,2,0,6,0,0,0,0,3,3,2,34.72016,-14.34498,Ntcheu-DHO
Phimbi Health Centre,20,0,0,0,10,0,8,0,1,0,3,34,34,13,35.17734,-14.86247,Balaka-DHO
Phirilongwe Health Centre,22,7,0,0,8,0,10,0,8,0,4,18,25,12,34.89938,-14.58847,Mangochi-DHO
Phokera Health Centre,49,5,0,0,36,0,3,0,4,0,74,65,70,110,35.258889,-16.456861,Nsanje-DHO
Pim Health Centre,1,3,1,2,6,0,20,0,13,4,2,20,25,8,35.1923,-15.75309,Chiradzulu-DHO
Pirimiti Health Centre,68,6,0,0,34,0,54,0,54,3,99,49,55,133,35.45048,-15.48302,Zomba-DHO
Police Hospital,67,27,1,1,38,1,29,0,26,1,72,73,101,111,35.32685,-15.39112,#N/A
Ruarwe Health Centre,5,0,0,0,0,0,1,0,0,0,0,6,6,0,34.23093,-11.11377,Nkhata-Bay-DHO
Rumphi District Hospital,65,21,8,2,44,3,57,0,1,0,19,65,88,66,33.85422,-11.01993,Rumphi-DHO
Sadzi Health Centre,40,19,0,2,19,0,11,0,32,2,19,66,87,38,35.31969,-15.40882,Zomba-DHO
Salima District Hospital,303,122,8,11,143,4,377,2,161,11,76,499,634,223,34.42199,-13.76214,Salima-DHO
Sambankhanga Health Centre,6,16,0,0,25,0,0,0,0,0,2,16,32,27,35.225924,-15.981874,#N/A
Sangilo Health Centre,0,0,0,0,1,0,1,0,2,0,2,5,5,3,34.213429,-10.5161,Karonga-DHO
Sankhulani Health Centre,17,4,0,0,11,0,4,0,2,0,46,29,33,57,35.01159,-16.54278,Nsanje-DHO
Santhe Health Centre,23,0,0,0,11,1,25,0,0,0,6,25,25,18,33.39378,-13.46712,Kasungu-DHO
Satemwa Clinic,9,9,0,0,12,0,1,0,0,1,28,7,16,40,35.261542,-16.028838,Thyolo-DHO
Senga Bay Baptist Dispensary,15,2,0,1,2,0,12,0,0,0,11,29,32,13,34.59749,-13.73887,Salima-DHO
Senzani Health Centre,3,2,0,0,2,0,11,0,6,0,3,7,9,5,34.85783,-15.07865,Ntcheu-DHO
Sharpe Valley Health Centre,8,1,0,0,4,0,5,1,3,1,2,12,14,6,34.7369,-14.61103,Ntcheu-DHO
Simlemba Health Centre,18,0,0,0,15,0,2,0,1,2,7,19,19,22,33.6764,-12.74081,Kasungu-DHO
Sinyala Dispensary,6,9,0,1,9,0,2,0,12,0,5,4,14,14,35.57626,-14.58386,Mangochi-DHO
Sister Teleza Community Hospital,10,2,0,0,9,0,2,0,0,0,1,26,28,10,34.82815,-14.99902,Ntcheu-DHO
Soche Maternity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.027587,-15.85722,Blantyre-DHO
Soche SDA Dispensary,1,6,0,0,3,1,0,0,13,0,0,4,10,4,35.019956,-15.809048,#N/A
Sorgin Health Centre,16,10,0,0,29,0,2,0,9,0,30,42,52,59,35.27015,-16.73308,Nsanje-DHO
Sr Marthas Health Centre,6,0,0,1,4,0,0,0,0,0,0,7,8,4,35.53555,-14.38531,Mangochi-DHO
St Andrews Community Hospital,2,14,0,0,13,0,10,0,4,1,0,10,24,13,33.67114,-13.03263,Kasungu-DHO
St Annes Health Centre,9,0,0,0,12,0,31,3,2,2,3,13,16,15,34.21188,-10.41184,Karonga-DHO
St Gabriels Hospital,15,0,0,0,14,0,4,0,4,0,10,24,24,24,33.35128,-13.98418,Lilongwe-DHO
St Johns Mission Hospital,23,0,0,0,14,0,20,0,1,0,2,11,11,16,34.02806,-11.45161,#N/A
St Johns of God Mental Hospital,0,4,0,0,6,0,0,0,0,0,0,6,10,6,34.01381,-11.45571,#N/A
St Josephs Mission Hospital(Nguludi),75,25,0,1,43,0,26,2,38,0,120,51,79,163,35.16825,-15.80173,Chiradzulu-DHO
St Josephs Mitengo Health Centre,0,0,0,2,11,0,0,0,0,0,4,10,12,15,35.13552,-16.21758,Thyolo-DHO
St Lukes Hospital,98,20,0,1,26,0,111,0,57,1,36,45,66,62,35.35291,-15.20914,Zomba-DHO
St Martin Hospital,4,0,0,0,4,0,7,0,1,1,5,5,5,9,35.29375,-14.34759,Mangochi-DHO
St Martins Molere Health Centre,12,3,3,0,3,0,4,0,0,1,20,16,19,23,35.106607,-16.06408,Thyolo-DHO
St Montfort Hospital,33,17,1,0,28,0,22,0,7,0,21,19,36,49,34.8832,-16.40314,Chikwawa-DHO
St Peters Hospital,4,1,0,0,12,2,8,0,3,0,1,31,32,15,34.73657,-12.0648,Likoma-DHO
St Vincent Health CentreChadzunda,0,3,0,0,3,0,1,0,0,0,0,2,5,3,34.949951,-15.914056,Blantyre-DHO
St. Annes Mission Hospital,0,0,0,0,0,1,0,0,3,1,0,3,3,1,34.29554,-12.92747,#N/A
St. Faith Health Centre,21,1,0,0,5,0,3,0,1,0,0,6,7,5,33.7952,-12.92886,#N/A
State House Dispensary,0,3,0,0,1,0,2,0,0,0,0,4,7,1,35.31027,-15.38153,#N/A
Sukasanje Health Centre,38,9,2,0,19,0,15,0,0,0,25,20,29,44,35.55093,-15.77085,Phalombe-DHO
Tcharo Health Centre,0,0,0,0,2,0,4,0,0,0,3,5,5,5,34.22225,-10.96193,Rumphi-DHO
Tembwe Health Centre,33,0,1,2,24,1,8,0,2,2,2,41,43,27,33.06226,-13.90113,Mchinji-DHO
Tengani Health Centre,25,5,0,0,15,1,1,0,0,0,83,24,29,99,35.10953,-16.58035,Nsanje-DHO
Thambani Health Centre,15,24,0,0,8,0,33,0,1,0,15,27,51,23,34.52277,-15.7496,Mwanza-DHO
Thavite Health Centre,6,16,1,0,15,0,4,0,0,0,7,18,34,22,34.26122,-13.498,Salima-DHO
Thekerani Rural Hospital,23,74,0,0,37,1,48,0,57,0,11,76,150,49,34.97881,-16.02878,Thyolo-DHO
Thembe Health Centre,11,0,0,1,9,0,4,0,0,0,8,9,10,17,35.63033,-16.06936,Mulanje-DHO
Thomas Health Centre,8,16,0,0,5,0,27,0,1,1,9,13,29,14,35.263278,-16.394465,Thyolo-DHO
Thondwe Health Centre,30,25,0,3,34,0,36,0,2,0,19,36,64,53,35.23696,-15.48458,Zomba-DHO
Thonje Health Centre,6,4,0,0,7,0,8,0,0,0,0,24,28,7,34.23725,-13.72624,Dowa-DHO
Thuchila Health Centre,61,29,0,1,40,4,12,0,11,1,94,43,73,138,35.361168,-15.919136,Mulanje-DHO
Thumbwe Health Centre,5,17,0,0,30,0,5,0,0,1,10,25,42,40,35.24849,-15.76823,Chiradzulu-DHO
Thunduwike Health Centre,11,13,1,0,11,0,32,0,2,2,28,25,38,39,33.57636,-11.17665,Mzimba-North-DHO
Thunga Health Centre,13,33,0,0,29,0,18,0,0,1,4,40,73,33,35.14806,-16.06937,Thyolo-DHO
Thyolo District Hospital,261,105,6,14,265,1,334,2,210,19,364,344,465,630,35.19992,-16.23764,Thyolo-DHO
Trinity - Fatima Hospital,57,3,0,0,41,0,26,0,2,2,58,35,38,99,35.171128,-16.419075,Nsanje-DHO
Tsangano Health Centre,1,1,0,0,2,0,0,0,0,0,6,0,1,8,34.61117,-15.17401,Ntcheu-DHO
Tsoyo Dispensary,1,3,0,0,0,0,10,0,0,2,0,14,17,0,34.16138,-14.08098,Dedza-DHO
Tukombo Health Centre,18,5,0,0,5,2,8,0,1,0,6,40,45,13,34.054283,-12.083223,#N/A
Tulonkhondo Health Centre,54,5,0,0,12,0,5,0,0,0,14,36,41,26,34.51102,-15.59467,Mwanza-DHO
Ukwe Health Centre,16,5,0,0,8,0,6,0,3,1,3,19,24,11,33.60129,-13.82586,Lilongwe-DHO
Ulongwe Health Centre,7,2,1,0,6,0,11,0,7,2,4,25,27,10,35.06424,-15.17774,Balaka-DHO
Usisya Health Centre,8,5,0,0,7,0,7,0,0,0,0,19,24,7,34.20941,-11.2394,Nkhata-Bay-DHO
Utale 1 Health Centre,3,0,1,0,0,0,2,0,2,1,4,8,8,4,35.07239,-15.16981,Balaka-DHO
Vibangalala Dispensary,12,17,0,0,33,0,13,0,19,0,1,35,52,34,33.48619,-12.23433,Mzimba-South-DHO
Wenya Health Centre,2,1,0,0,6,0,5,0,0,1,1,7,8,7,33.56344,-10.11286,Chitipa-DHO
Wiliro Health Centre,4,1,0,0,4,0,5,0,0,0,1,17,18,5,33.61404,-9.89312,Karonga-DHO
Wimbe Health Centre,21,15,1,0,4,0,2,0,0,0,5,25,40,9,33.68694,-12.99126,Kasungu-DHO
zalewa Dispensary,76,7,9,0,25,4,52,0,0,0,31,77,84,60,34.82512,-15.52193,Neno-DHO
Zilindo Health Centre,10,3,0,0,14,0,6,0,0,0,0,15,18,14,35.3013,-15.3805,Zomba-DHO
Zingwangwa Urban Health Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.012022,-15.821631,Blantyre-DHO
Zoa Health Centre,0,30,0,0,11,0,19,0,0,0,4,7,37,15,35.07626,-16.076997,Thyolo-DHO
Zomba Central Prison Clinic,18,3,0,1,18,0,26,0,3,1,2,18,22,20,35.31248,-15.39611,#N/A
